Control ID,Control Family,Control Name,Baseline (SP 800-53B),Control Requirement Summary,Applicability,Applicability Rationale,Control Origination,System / Process,Control Owner,Business Requirements (REQ),Implementation Status (Owner-Stated),Implementation Status (Assessor-Validated),Status Changed by Assessor?,Implementation Description,Evidence Required,Evidence Available (EVID),Evidence Location,Highest Evidence Level,Testing Method,Test Procedure / Expected vs Actual,Assessment Result,Gap Identified,Risk Rating,Related Risk ID,Related Finding ID,Related POA&M ID,POA&M Status (as of status date),Observations,Last Reviewed,Next Review,CSF 2.0 Function (informal),Notes
RA-7,RA - Risk Assessment,Risk Response,Moderate,"Respond to findings from security and privacy assessments, monitoring, and audits in accordance with organizational risk tolerance.",Applicable,,Common (organization-wide),WCP-PROD,Alicia Moreno (CISO),REQ-012; REQ-024,Implemented,Implemented,No,"Findings receive a treatment decision (mitigate, accept, transfer, or avoid) per RSK-MTH-001, with acceptance authority by rating. Decisions are recorded in the risk register and the POA&M. Formal acceptances use RACC forms.",Treatment decisions for findings; acceptance records signed by the correct authority,EVID-027; EVID-060,GRC-Vault:/WCP-2026/CA/EVID-027_secissue-export.csv; risk/risk-acceptance/RACC-001.md,Implementation,Examine,"Expected: every finding has a treatment consistent with appetite, and acceptances are signed at the right level. Actual: 19 of 19 findings have treatments. The 1 acceptance (RACC-001, Moderate) was signed by the CFO as risk owner with CISO concurrence, as the matrix requires.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,GV,
SA-9,SA - System and Services Acquisition,External System Services,Moderate,Require external service providers to comply with organizational security and privacy requirements and employ defined controls; define oversight roles and responsibilities; monitor provider compliance on an ongoing basis.,Applicable,,Common (vendor-management program),Vendors (14 Tier 1–2),Beth Kowalski (Vendor Management Lead),REQ-007; REQ-008; REQ-018,Implemented,Partially Implemented,Yes,"The Third-Party Risk Management Standard TPRM-007 requires tiering, due diligence before contract, security terms (BAA, notification, data return), and reassessment (Tier 1 annually, Tier 2 every 2 years). Standard contract templates were updated in 2025 but not applied to older contracts.",Vendor inventory with tiers; assessment records; contract security terms for Tier 1–2 vendors,EVID-049; EVID-026; EVID-050; EVID-051; EVID-073,vendor-risk/vendor-assessment.xlsx; GRC-Vault:/WCP-2026/CA/EVID-026_interconnection-agreements.zip; evidence/SR/EVID-050_quarrystone-soc2-review-workpaper.md; GRC-Vault:/WCP-2026/SR/EVID-051_pending; GRC-Vault:/WCP-2026/SR/EVID-073_quarrystone-amendment-v3.pdf,Operating Effectiveness,"Examine, Interview, Test","Tested all 14 Tier 1–2 vendors for a current assessment and adequate contract terms, plus a deep assessment of Quarrystone. Expected: 14 of 14 current, with notification and data-return terms. Actual: 9 of 14 current. Quarrystone's terms allow 30-day breach notice, include no US-only restriction, and do not define data return. Offshore subcontractor access to PHI was confirmed.",Other Than Satisfied,Provider oversight is not operating consistently; the highest-risk vendor has material contractual and access gaps.,High,RISK-010; RISK-011,FIND-015; FIND-016,POAM-015; POAM-016,POAM-015: In Progress; POAM-016: In Progress,,2026-07-17,2027-01-11,GV,
SA-22,SA - System and Services Acquisition,Unsupported System Components,Moderate,"Replace system components when support is no longer available from the developer, vendor, or manufacturer; or provide options for alternative sources of continued support.",Applicable,,System-specific,"SYS-05, legacy-reports, notify-worker","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-010,Partially Implemented,Partially Implemented,No,"Most components are current. Three are unsupported: wf-sftp-01 (Windows Server 2012 R2; extended support ended 2023-10-10; no ESU enrollment), legacy-reports (PostgreSQL 11; community support ended 2023-11-09), and the notify-worker container (Node.js 16; end of life 2023-09-11). Compensating controls on wf-sftp-01 are EDR, an SFTP source allowlist, and weekly scanning.",Software inventory with support status; replacement plans; compensating-control documentation,EVID-052; EVID-048,GRC-Vault:/WCP-2026/SA/EVID-052_eol-inventory.csv; evidence/RA/EVID-048_vuln-remediation-aging-2026H1.csv,Implementation,"Examine, Test","Compared the OS, database, and runtime inventory to vendor lifecycle dates. Expected: 0 unsupported components, or SHCA-approved compensating controls. Actual: 3 unsupported components, 2 of them handling PHI. They account for 4 of the 6 open past-SLA vulnerabilities. No SHCA-approved exception exists (CSA §7.4).",Other Than Satisfied,Unsupported components in the PHI data path.,High,RISK-007,FIND-011,POAM-011,POAM-011: Delayed,,2026-07-17,2026-11-30,PR,
SC-7,SC - System and Communications Protection,Boundary Protection,Moderate,Monitor and control communications at the external and key internal boundaries; implement subnetworks for publicly accessible components; connect to external networks only through managed interfaces.,Applicable,,System-specific,"SYS-01, SYS-05","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-001; REQ-021,Implemented,Partially Implemented,Yes,Public traffic enters through CloudFront and WAF to internal ALBs. Workloads sit in private subnets with VPC endpoints for AWS services. There is an egress allowlist for EKS. wf-sftp-01 sits in a public subnet with an SFTP (22) allowlist of 6 partner CIDRs.,Network architecture; security group and NACL exports; exposure scans,EVID-053; EVID-028; EVID-068,evidence/CM/EVID-053_wf-sftp-01-security-group_2026-07-02.json; GRC-Vault:/WCP-2026/CM/EVID-028_securityhub.csv; GRC-Vault:/WCP-2026/SC/EVID-068_sg-fix.zip,Implementation,"Examine, Test","Enumerated all security groups with 0.0.0.0/0 ingress. Expected: only CloudFront/ALB listeners on 443. Actual: wf-sftp-01 allowed TCP 3389 (RDP) from 0.0.0.0/0, added under emergency change CHG-2026-0412 on 2026-05-19 and never reverted (43 days exposed at discovery). No evidence of successful RDP logons from external addresses (reviewed Windows Security log 4624 type 10 for the period). Fixed within 24h of discovery; validated 2026-07-10.",Other Than Satisfied,Internet-exposed administrative service on an unsupported host.,High,RISK-012; RISK-007,FIND-012,POAM-012,POAM-012: Closed,,2026-07-10,2027-07-15,PR,
SC-8,SC - System and Communications Protection,Transmission Confidentiality and Integrity,Moderate,Protect the confidentiality and integrity of transmitted information.,Applicable,,System-specific,"SYS-01, SYS-04, SYS-05","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-021,Implemented,Implemented,No,TLS 1.2+ only (the CloudFront and ALB security policies disable TLS 1.0/1.1). The database enforces SSL (rds.force_ssl=1). SFTP to partners uses SSH. HL7/FHIR interfaces run over TLS or VPN.,TLS policies; database SSL enforcement; external TLS scan,EVID-054,GRC-Vault:/WCP-2026/SC/EVID-054_tls.zip,Implementation,"Examine, Test","Scanned the 4 public endpoints with a TLS scanner (TLS 1.2/1.3 only, no weak ciphers) and confirmed rds.force_ssl=1 in the parameter group. Expected: encryption for all PHI in transit. Actual: met.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
SC-12,SC - System and Communications Protection,Cryptographic Key Establishment and Management,Moderate,"Establish and manage cryptographic keys when cryptography is employed, per defined requirements for key generation, distribution, storage, access, and destruction.",Applicable,,Hybrid (cloud key-management service; Wrenfield key policies),"SYS-01, SYS-04","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-021,Implemented,Implemented,No,"Customer-managed KMS keys for Aurora, S3 PHI buckets, EBS, and backups, with annual automatic rotation enabled. Key policies separate key administrators (SRE) from key users (service roles). No key material leaves KMS.",Key inventory; rotation settings; key policies,EVID-055,GRC-Vault:/WCP-2026/SC/EVID-055_kms.json,Implementation,Examine,Examined 9 customer-managed keys. Expected: rotation enabled and separation of admin and usage duties. Actual: 9 of 9 with rotation enabled; key policies separate administration from use.,Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
SC-28,SC - System and Communications Protection,Protection of Information at Rest,Moderate,Protect the confidentiality and integrity of defined information at rest.,Applicable,,Hybrid,"SYS-01, SYS-04, SYS-10","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-021,Implemented,Implemented,No,"Aurora storage encryption (KMS CMK), S3 default encryption with bucket keys, EBS encryption-by-default at the account level, and backup vault encryption. Laptops use FileVault or BitLocker, enforced by MDM.",Encryption settings for every PHI data store; endpoint encryption compliance,EVID-056,GRC-Vault:/WCP-2026/SC/EVID-056_encryption.zip,Implementation,"Examine, Test","Queried the encryption status of every RDS, S3, and EBS resource in wcp-prod (100% encrypted) and the MDM encryption compliance (362 of 362 endpoints). Expected: all PHI at rest encrypted. Actual: met. wf-sftp-01 volumes are encrypted (EBS default).",Satisfied,,,RISK-018,,,n/a,,2026-07-17,2027-07-15,PR,
SI-2,SI - System and Information Integrity,Flaw Remediation,Moderate,"Identify, report, and correct system flaws; test updates before installation; install security-relevant updates within a defined time; incorporate flaw remediation into configuration management.",Applicable,,System-specific,"SYS-01, SYS-05",Grace Lindqvist (VP Engineering),REQ-009,Implemented,Partially Implemented,Yes,"VM-003 sets SLAs of Critical 15 days, High 30, and Moderate 90. Findings are auto-ticketed to the owning team. Container fixes ship through base-image rebuilds. Risk exceptions require a CISO-approved form (VM-003 §7).",Complete population of Critical/High findings with detection and remediation dates; exception approvals,EVID-048,evidence/RA/EVID-048_vuln-remediation-aging-2026H1.csv,Operating Effectiveness,"Examine, Test","Full population test (test-results/si2-vuln-sla.md). Expected: 100% remediated within SLA, or approved exception. Actual: 14 of 61 (23%) breached SLA; 6 remain open past SLA (2 Critical), and 0 exceptions were filed. Engineering disputes the 2 Critical findings as unreachable. Assessor position: the SLA applies until an exception with reachability analysis is approved.",Other Than Satisfied,Remediation timeliness below SLA; exception process unused.,High,RISK-006,FIND-010,POAM-010,POAM-010: In Progress,OBS-04,2026-07-17,2026-11-05,PR,
SI-3,SI - System and Information Integrity,Malicious Code Protection,Moderate,Implement signature- and/or non-signature-based malicious code protection at entry and exit points; update it; scan periodically and in real time; take defined actions on detection.,Applicable,,Hybrid,"SYS-01, SYS-05, SYS-10",Owen Castillo (Security Engineer),REQ-016,Implemented,Implemented,No,"EDR on endpoints and EC2 hosts (including wf-sftp-01), runtime protection on EKS nodes (DaemonSet), and email security filtering. Detections auto-contain and escalate to MDR.",Coverage report reconciled to inventory; policy settings; detection records,EVID-057; EVID-038,GRC-Vault:/WCP-2026/SI/EVID-057_edr-coverage.csv; evidence/IR/EVID-038_incident-tickets-2026H1.csv,Operating Effectiveness,"Examine, Test","Reconciled EDR sensors to the MDM and AWS inventory: 358 of 362 endpoints (4 were new devices under 72h old, within the provisioning standard), 100% of EC2 hosts and EKS nodes. INC-2026-0095 shows detection and containment operating.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
SI-4,SI - System and Information Integrity,System Monitoring,Moderate,Monitor the system to detect attacks and indicators of attacks and unauthorized connections; identify unauthorized use; deploy monitoring devices strategically; analyze events; adjust monitoring when risk changes.,Applicable,,Hybrid (MDR provider + Wrenfield),"SYS-01, SYS-02, SYS-08",Owen Castillo (Security Engineer),REQ-019; REQ-016,Implemented,Implemented,No,"GuardDuty (all accounts), SIEM correlation rules (Okta anomalies, impossible travel, privilege escalation), and 24x7 MDR triage with a 30-minute SLA for High alerts.",Detection inventory; alert triage metrics; sample alert records,EVID-058,GRC-Vault:/WCP-2026/SI/EVID-058_monitoring.zip,Operating Effectiveness,"Examine, Test","Examined the detection inventory (41 rules) and MDR metrics for H1 (High alerts triaged within 30 minutes: 97%). Sampled 10 alerts, all dispositioned. Expected: continuous monitoring with timely triage. Actual: met. The weekly human privileged-activity review is a separate AU-6 control.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,DE,
SR-2,SR - Supply Chain Risk Management,Supply Chain Risk Management Plan,Moderate,"Develop a plan for managing supply chain risks associated with the research, development, design, manufacturing, acquisition, delivery, integration, operations, maintenance, and disposal of the system; review, update, and protect it.",Applicable,,Common (organization-wide),Organization-wide,Beth Kowalski (Vendor Management Lead),REQ-008; REQ-001,Planned,Planned,No,"No C-SCRM plan exists. TPRM-007 covers vendor due diligence but not software supply chain (dependencies, CI/CD, SBOM) or fourth-party mapping. A draft outline was produced in 2026-06.",Approved C-SCRM plan,EVID-059,GRC-Vault:/WCP-2026/SR/EVID-059_cscrm-outline.docx,Design,"Examine, Interview","Expected: an approved C-SCRM plan. Actual: an outline only (EVID-059, Insufficient). The plan is scheduled for Q4 2026, aligned to SP 800-161 Rev. 1 Update 1 and the new SP 800-18 Rev. 2 C-SCRM plan structure.",Other Than Satisfied,No C-SCRM plan.,Moderate,RISK-011,FIND-015,POAM-015,POAM-015: In Progress,,2026-07-17,2027-02-03,GV,
SR-6,SR - Supply Chain Risk Management,Supplier Assessments and Reviews,Moderate,"Assess and review the supply chain-related risks associated with suppliers or contractors and the systems, components, or services they provide, at a defined frequency.",Applicable,,Common (vendor-management program),Vendors (14 Tier 1–2),Beth Kowalski (Vendor Management Lead),REQ-008; REQ-018,Implemented,Partially Implemented,Yes,Tier-based reassessment (Tier 1 annually) using a questionnaire plus attestation review (SOC 2 and pentest summaries). There is no fourth-party inventory. Assessments are tracked in a spreadsheet.,"Assessment records per vendor, within the frequency for its tier",EVID-049; EVID-050; EVID-051,vendor-risk/vendor-assessment.xlsx; evidence/SR/EVID-050_quarrystone-soc2-review-workpaper.md; GRC-Vault:/WCP-2026/SR/EVID-051_pending,Operating Effectiveness,"Examine, Test","Expected: all Tier 1–2 vendors assessed within frequency. Actual: 5 of 14 overdue or never assessed (including Tier 1 Pulsewire and Ironpeak). The Quarrystone deep assessment found 12 vendor-risk issues (1 Critical, contained 2026-07-24). The vendor's pentest report and retest evidence are still outstanding (EVID-051).",Other Than Satisfied,"Supplier reviews are overdue, and no fourth-party visibility exists.",High,RISK-010; RISK-011,FIND-015; FIND-016,POAM-015; POAM-016,POAM-015: In Progress; POAM-016: In Progress,,2026-07-17,2027-01-11,GV,
